Variable Name,Variable Label,Type,Codelist/ Controlled Terms,Core,CDISC Notes,Sort Core
ARRLT,Actual Rel. Time from Ref. Dose,Num,,Req,This is the actual elapsed time (for sample point or start of sampling interval) from reference exposure to study treatment.,A
AVALU,Analysis Value Unit,Char,,Req,Unit for AVAL.,A
NRRLT,Nominal Rel. Time from Ref. Dose,Num,,Req,This is the planned elapsed time (for sample point or start of sampling interval) from reference exposure to study treatment.,A
PCRFTDT,Reference Date of Dose for Analyte,Num,,Req,"Date of reference exposure to treatment associated with PARAM and ANALYTE. Based on PC.PCRFTDTC and related to the analyzed profile. If this is a treatment over time, then this is typically the start of the dosing duration.",A
PCRFTDTM,Reference Datetime of Dose for Analyte,Num,,Req,`,A
PCRFTTM,Reference Time of Dose for Analyte,Num,,Req,"Time of reference exposure to treatment associated with PARAM and ANALYTE. Based on PC.PCRFTDTC and related to the analyzed profile. If this is a treatment over time, then this is typically the start of the dosing duration.",A
RRLTU,Rel. Time from Ref. Dose Unit,Char,(PKUNIT),Req,This is the unit for all elapsed times from reference dose.,A
ADOSEDUR,Actual Duration of Treatment Dose,Num,,Cond,"Total treatment duration, as measured in units given in DOSEDURU, derived from PCRFEDTM- PCRFDTM. This record is generally considered to be associated with an infusion dose and is distinct from TRTDURD, TRTDURM, and TRTDURY, which reference the duration of the entire study rather than the duration of a single treatment event.",B
ALLOQ,Analysis Lower Limit of Quantitation,Num,,Cond,Indicates the lower limit of quantitation for an assay. Use if PC.PCLLOQ does not support analysis needs.,B
DOSEFRQ,Dose Frequency,Char,(FREQ),Cond,Usually expressed as the number of repeated administrations of DOSE within a specific time period for multiple dose studies.,B
DOSPCTDF,Percent Diff. Nominal vs. Actual Dose,Num,,Cond,Derived variable using a standard percent difference formula: (100*(DOSEA- DOSEP)/(DOSEP)). DOSPCTDF is required if both DOSEA and DOSEP are populated.,B
METABFL,Metabolite Flag,Char,Y,Cond,Flag to designate if observations within a subject are associated with a metabolite. Required if parent drug and metabolites are present in the dataset.,B
NDOSEDUR,Nominal duration of Treatment Dose,Num,,Cond,"Nominal treatment duration as specified in the protocol, as measured in units given in DOSEDURU. This record is generally considered to be associated with an infusion dose.",B
PCLLOQ,Lower Limit of Quantitation,Num,,Cond,Indicates the lower limit of quantitation for an assay. Must be a direct copy of PC.PCLLOQ.,B
PCRFEDT,Reference End Date of Dose for Analyte,Num,,Cond,"The end date of reference exposure to treatment associated with PARAM and ANALYTE. Must be related to the time recorded in PC.PCRFTDTC and to the analyzed profile. If dosing occurs over an interval, this should be populated. If populated, ADOSEDUR and DOSEDURU are required to be filled out.",B
PCRFEDTM,Ref. End Datetime of Dose for Analyte,Num,,Cond,"The end date and time of the reference exposure to treatment associated with PARAM and ANALYTE. Must be related to the time recorded in PC.PCRFTDTC and to the analyzed profile. If dosing occurs over an interval, this should be populated. If populated, ADOSEDUR and DOSEDURU are required to be filled out.",B
PCRFETM,Reference End Time of Dose for Analyte,Num,,Cond,"The end time of the reference exposure to treatment associated with PARAM and ANALYTE. Must be related to the time recorded in PC.PCRFTDTC and to the analyzed profile. If dosing occurs over an interval, this should be populated. If populated, ADOSEDUR and DOSEDURU are required to be filled out.",B
PCSEQ,Sequence Number,Num,,Cond,PC.PCSEQ associated with AVAL.,B
PCSTRESC,Character Result/Finding in Std Format,Char,,Cond,Character results/findings in a standard format. The purpose of this column is to capture which records are BLQ or LLOQ in the AVAL column. This column must be a direct copy of PC.PCSTRESC.,B
PCSTRESU,Standard Units,Char,(UNIT),Cond,Standardized unit associated with AVAL. Units associated with AVAL are needed for clear NCAs. This column must be a direct copy of PC.PCSTRESU.,B
SPWEIGHT,Specimen Weight Value,Num,,Cond,"PC.PCSTRESN from a PC specimen weight record, adjustment based on LLOQ rules possible. This is the specimen weight associated with AVAL. Conditionally required if sample is interval based collection, such as a potential non-fluid matrix (e.g., feces).",B
SPWEIGHU,Specimen Weight Value Unit,Char,(UNIT),Cond,PC.PCSTRESU from a PC weight record. Conditionally required if SPWEIGHT is present.,B
VOLUME,Volume Value,Num,,Cond,"PC.PCSTRESN from a PC volume record. This is the volume related to AVAL. Conditionally required if sample is interval-based collection, such as urine.",B
VOLUMEU,Volume Value Unit,Char,(UNIT),Cond,PC.PCSTRESU from a PC volume record. Conditionally required if VOLUME is present.,B
ACYCLE,Analysis Cycle,Num,,Perm,"This is a record-level identifier that reflects cycle and may be of particular importance for studies that examine concentrations in cancer patients. There must be a one-to-one mapping between ACYCLE and ACYCLEC. When ACYCLE and ACYCLEC are present, then, on a given record, either both must be populated or both must be null.",C
ACYCLEC,Analysis Cycle (C),Char,,Perm,"Character representation of the ACYCLE variable. Text characterizing to which analysis cycle the record belongs. This is a record-level identifier that reflects cycle and may be of particular importance for studies that examine concentrations in cancer patients. There must be a one-to-one mapping between ACYCLE and ACYCLEC. When ACYCLE and ACYCLEC are present, then, on a given record, either both must be populated or both must be null.",C
AEFRLT,Act. Rel. End Time from First Dose,Num,,Perm,This is the actual elapsed end time of sampling interval from first exposure to study treatment.,C
AERRLT,Actual Rel. End Time from Ref. Dose,Num,,Perm,This is the actual elapsed end time of sampling interval from reference exposure to study treatment.,C
AFRLT,Act. Rel. Time from Analyte First Dose,Num,,Perm,This is the actual elapsed time (for sample point or start of sampling interval) from first exposure to treatment associated with PARAM and ANALYTE. Note that this is referring to the first dose available for a particular drug. It is useful in multiple-dosing situations.,C
COHORT,Subject Cohort,Char,,Perm,Relevant to trials where cohorts are defined. This could be another grouping not necessarily associated with ARM.,C
COHORTN,Subject Cohort (N),Num,,Perm,"Numeric representation of the COHORT variable. There must be a one-to-one mapping between COHORT and COHORTN. When COHORT and COHORTN are present, then, on a given record, either both must be populated or both must be null.",C
DOSEDURU,Duration of Treatment Dose Units,Char,(PKUNIT),Perm,"Units associated with ADOSEDUR and NDOSEDUR. When ADOSEDUR is present, NDOSEDUR and/or DOSEDURU must also be included in the dataset.",C
FANLDT,First Date of Dose for Analyte,Num,,Perm,Date of first exposure to treatment associated with PARAM and ANALYTE for a subject in a study where multiple doses have been given. Note that FANLDT may not match TRTSDT or any of TRxxSDT values.,C
FANLDTM,First Datetime of Dose for Analyte,Num,,Perm,"Date and time of first exposure to treatment associated with PARAM and ANALYTE for a subject in a study where multiple doses have been given. If treatment is given over a duration multiple times, this variable will reflect the start date and time of the first dose.",C
FANLEDT,First End Date of Dose for Analyte,Num,,Perm,End date of first exposure to treatment associated with PARAM and ANALYTE for a subject in a study where multiple doses have been given. Note that FANLEDT may not match TRTEDT or any of TRxxEDT values.,C
FANLEDTM,First End Datetime of Dose for Analyte,Num,,Perm,"End date and time of first exposure to treatment associated with PARAM and ANALYTE for a subject in a study where multiple doses have been given. If treatment is given over a duration multiple times, this variable will reflect the end date and time of the first dose.",C
FANLETM,First End Time of Dose for Analyte,Num,,Perm,"End time of first exposure to treatment associated with PARAM and ANALYTE for a subject in a study where multiple doses have been given. If treatment is given over a duration multiple times, this variable will reflect the end time of the first dose.",C
FANLTM,First Time of Dose for Analyte,Num,,Perm,"Time of first exposure to treatment associated with PARAM and ANALYTE for a subject in a study where multiple doses have been given. If treatment is given over a duration multiple times, this variable will reflect the start time of the first dose.",C
FRLTU,Rel. Time from First Dose Unit,Char,(PKUNIT),Perm,This is the unit for all elapsed times from first dose.,C
MERRLT,Modified Rel. End Time from Ref. Dose,Num,,Perm,"This variable could be used to modify the AERRLT variable based on analysis needs (e.g., setting negative values to zero or having a mix of nominal and actual time based on TMPCTDF).",C
MRRLT,Modified Rel. Time from Ref. Dose,Num,,Perm,"This variable could be used to modify the ARRLT variable based on analysis needs (e.g., setting negative values to zero or having a mix of nominal and actual time based of TMPCTDF).",C
NCAwXRS,Reason w for PK NCA Exclusion,Char,,Perm,This variable is used to explain why the record is not included in the PK NCA.,C
NCAwXRSN,Reason for PK NCA Exclusion of w (N),Num,,Perm,This variable is used to explain why the record is not included in the PK NCA.,C
NCAXFL,PK NCA Exclusion Flag,Char,Y,Perm,"Flag for exclusion of a record into a PK NCA calculation (Y = exclusion, Null = inclusion)",C
NCAXFN,PK NCA Exclusion Flag (N),Num,1,Perm,"Numeric flag for exclusion of a record into a PK NCA calculation (1 = exclusion, Null = inclusion). NCAXFN can only be included if NCAXFL is also included.",C
NEFRLT,Nom. Rel. End Time from First Dose,Num,,Perm,This is the planned elapsed end time of sampling interval from first exposure to study treatment.,C
NERRLT,Nominal Rel. End Time from Ref. Dose,Num,,Perm,This is the planned elapsed end time of sampling interval from reference exposure to study treatment.,C
NFRLT,Nom. Rel. Time from Analyte First Dose,Num,,Perm,"This is the planned elapsed time (for sample point or start of sampling interval) from first exposure to treatment associated with PARAM and ANALYTE. For studies with an extended duration infusion, use the define to document if this is from the start or end of the infusion.",C
PCGRPID,Group ID,Char,,Perm,Used to tie together a block of related records in a single domain to support relationships within the domain and between domains. Must be a direct copy of PC.PCGRPID.,C
PCSPEC,Specimen Material Type,Char,(SPECTYPE),Perm,"Defines the type of specimen used for a measurement (e.g., SERUM, PLASMA, URINE). This column must be a direct copy of PC.PCSPEC.",C
PKSUMXF,PK Summary Exclusion Flag,Char,Y,Perm,"Flag for exclusion of a record from a PK summary (1 = exclusion, Null = inclusion)",C
PKSUMXFN,PK Summary Exclusion Flag (N),Num,1,Perm,"Numeric flag for exclusion of a record from a PK summary (1 = exclusion, Null = inclusion). PKSUMXFN can only be included if PKSUMXFL is also included.",C
