DATASET_TYPE,VARIABLE,Label,VARIABLE_UNIT,SOURCE,AdAM_Req
ADPP,AAGE,Analysis Age,,"Predecessor: ADSL.AAGE
",
ADPP,AAGEU,Analysis Age Unit,,"Predecessor: ADSL.AAGEU
",
ADPP,ADT,Analysis Date,,"Set to the date portion of Event Start Date and Time
[ADPP.ADTM].",
ADPP,ADTM,Analysis Datetime,,"Set to the numeric SAS Datetime of the PP Date/Time
of Parameter Calculations IS08601 character variable
[PP.PPDTC]

Missing Data Handling Rule:
If the
date part of  [PP.PPDTC] is partially or completely
missing, no imputation is done.  
If seconds portion of
time is missing, then impute 00 for missing seconds.
Otherwise no imputation is done",
ADPP,ADY,Analysis Relative Day,,"Derived:
Set to date part of the non-imputed
Date/Time of Parameter Calculations  [PP.PPDTC]
converted to a numeric date minus the date part of
Datetime of First Exposure to Treatment
[ADSL.TRTSDTM]. If the result is equal or greater
than 0, one day is added. Possible values are .., -2, -1,
1, 2, .. (no day zero is possible).
Else set to null, if the
day, month and/or year of  Start Date/Time
[PP.PPDTC] is missing.",
ADPP,AGE,Age,,"Predecessor: ADSL.AGE
",Yes
ADPP,AGEGR1,Pooled Age Group 1,,"Predecessor: ADSL.AGEGR1
",
ADPP,AGEGR2,Pooled Age Group 2,,"Predecessor: ADSL.AGEGR2
",
ADPP,AGEGR3,Pooled Age Group 3,,"Predecessor: ADSL.AGEGR3
",
ADPP,AGEU,Age Units,,"Predecessor: ADSL.AGEU
",Yes
ADPP,ANL01FL,"Analysis Flag 01 PK
TLG flag",,"Set to 'Y' if uppercased Sponsor-Defined Identifier
[PP.PPSPID] includes the phrases 'MAIN PK
ANALYSIS' or 'INDIVIDUAL INCLUDE IN DES
STATS'.  Otherwise set to 'N' if uppercased
Sponsor-Defined Identifier [PP.PPSPID] includes the
phrase 'INDIVIDUAL EXCLUDE FROM DES STATS'.
(Y only For table,Y and N for listing)",
