FOLDER,DOMAIN,VARIABLE,LABEL
BP41732S,AE,AEACN,Action Taken with Study Treatment
BP41732S,AE,AEACN1,Action Taken with Study Treatment 1
BP41732S,AE,AEACNOT1,Other Action Taken 1
BP41732S,AE,AEACNOTH,Other Action Taken
BP41732S,AE,AEASOD,Accidental Overdose?
BP41732S,AE,AEBDSYCD,Body System or Organ Class Code
BP41732S,AE,AEBODSYS,Body System or Organ Class
BP41732S,AE,AECAT,Category for Adverse Event
BP41732S,AE,AECONCST,Treatment for AE-Corticosteroid
BP41732S,AE,AECONTRT,Concomitant or Additional Trtmnt Given
BP41732S,AE,AEDECOD,Dictionary-Derived Term
BP41732S,AE,AEDTHDTC,Death Date
BP41732S,AE,AEENDTC,End Date/Time of Adverse Event
BP41732S,AE,AEENDY,Study Day of End of Adverse Event
BP41732S,AE,AEENRTPT,End Relative to Reference Time Point
BP41732S,AE,AEENTPT,End Reference Time Point
BP41732S,AE,AEEXP,Expedited Adverse Event
BP41732S,AE,AEGRPID,Group ID
BP41732S,AE,AEHLGT,High Level Group Term
BP41732S,AE,AEHLGTCD,High Level Group Term Code
BP41732S,AE,AEHLT,High Level Term
BP41732S,AE,AEHLTCD,High Level Term Code
BP41732S,AE,AEITOXGR,Initial Toxicity Grade
BP41732S,AE,AELLT,Lowest Level Term
BP41732S,AE,AELLTCD,Lowest Level Term Code
BP41732S,AE,AEMEDERR,Medication Error?
BP41732S,AE,AEMODIFY,Modified Reported Term
BP41732S,AE,AEOCCRF,Event Occurrence Reference Time Point
BP41732S,AE,AEOUT,Outcome of Adverse Event
BP41732S,AE,AEPTCD,Preferred Term Code
BP41732S,AE,AEREFID,Reference ID
BP41732S,AE,AEREL,Causality
BP41732S,AE,AEREL1,Causality: Study Drug 1
BP41732S,AE,AERELNS1,Relationship to Non-Study Treatment 1
BP41732S,AE,AERELNS2,Relationship to Non-Study Treatment 2
BP41732S,AE,AERELNS3,Relationship to Non-Study Treatment 3
BP41732S,AE,AERELNS4,Relationship to Non-Study Treatment 4
BP41732S,AE,AERELNS5,Relationship to Non-Study Treatment 5
BP41732S,AE,AERELNS6,Relationship to Non-Study Treatment 6
BP41732S,AE,AERELNS7,Relationship to Non-Study Treatment 7
BP41732S,AE,AERELNST,Relationship to Non-Study Treatment
BP41732S,AE,AESCAT,Subcategory for Adverse Event
BP41732S,AE,AESCONG,Congenital Anomaly or Birth Defect
BP41732S,AE,AESDISAB,Persist or Signif Disability/Incapacity
BP41732S,AE,AESDTH,Results in Death
BP41732S,AE,AESEQ,Sequence Number
BP41732S,AE,AESER,Serious Event
BP41732S,AE,AESHOSP,Requires or Prolongs Hospitalization
