"name","labels"
"ARRLT","""Actual Rel. Time from Ref. Dose"""
"AVALU","""Analysis Value Unit"""
"NRRLT","""Nominal Rel. Time from Ref. Dose"""
"PCRFTDT","""Reference Date of Dose for Analyte"""
"PCRFTDTM","""Reference Datetime of Dose for Analyte"""
"PCRFTTM","""Reference Time of Dose for Analyte"""
"RRLTU","""Rel. Time from Ref. Dose Unit"""
"ADOSEDUR","""Actual Duration of Treatment Dose"""
"ALLOQ","""Analysis Lower Limit of Quantitation"""
"DOSEFRQ","""Dose Frequency"""
"DOSPCTDF","""Percent Diff. Nominal vs. Actual Dose"""
"METABFL","""Metabolite Flag"""
"NDOSEDUR","""Nominal duration of Treatment Dose"""
"PCLLOQ","""Lower Limit of Quantitation"""
"PCRFEDT","""Reference End Date of Dose for Analyte"""
"PCRFEDTM","""Ref. End Datetime of Dose for Analyte"""
"PCRFETM","""Reference End Time of Dose for Analyte"""
"PCSEQ","""Sequence Number"""
"PCSTRESC","""Character Result/Finding in Std Format"""
"PCSTRESU","""Standard Units"""
"SPWEIGHT","""Specimen Weight Value"""
"SPWEIGHU","""Specimen Weight Value Unit"""
"VOLUME","""Volume Value"""
"VOLUMEU","""Volume Value Unit"""
"ACYCLE","""Analysis Cycle"""
"ACYCLEC","""Analysis Cycle (C)"""
"AEFRLT","""Act. Rel. End Time from First Dose"""
"AERRLT","""Actual Rel. End Time from Ref. Dose"""
"AFRLT","""Act. Rel. Time from Analyte First Dose"""
"COHORT","""Subject Cohort"""
"COHORTN","""Subject Cohort (N)"""
"DOSEDURU","""Duration of Treatment Dose Units"""
"FANLDT","""First Date of Dose for Analyte"""
"FANLDTM","""First Datetime of Dose for Analyte"""
"FANLEDT","""First End Date of Dose for Analyte"""
"FANLEDTM","""First End Datetime of Dose for Analyte"""
"FANLETM","""First End Time of Dose for Analyte"""
"FANLTM","""First Time of Dose for Analyte"""
"FRLTU","""Rel. Time from First Dose Unit"""
"MERRLT","""Modified Rel. End Time from Ref. Dose"""
"MRRLT","""Modified Rel. Time from Ref. Dose"""
"NCAwXRS","""Reason w for PK NCA Exclusion"""
"NCAwXRSN","""Reason for PK NCA Exclusion of w (N)"""
"NCAXFL","""PK NCA Exclusion Flag"""
"NCAXFN","""PK NCA Exclusion Flag (N)"""
"NEFRLT","""Nom. Rel. End Time from First Dose"""
"NERRLT","""Nominal Rel. End Time from Ref. Dose"""
"NFRLT","""Nom. Rel. Time from Analyte First Dose"""
"PCGRPID","""Group ID"""
"PCSPEC","""Specimen Material Type"""
"PKSUMXF","""PK Summary Exclusion Flag"""
"PKSUMXFN","""PK Summary Exclusion Flag (N)"""
"ROUTE","""Route"""
"TMPCTDF","""Percent Diff. Nominal vs. Actual Time"""
"TRTRINT","""Planned Treatment Interval"""
"TRTRINTU","""Planned Treatment Interval Units"""
"DOSEA","""Actual Treatment Dose"""
"DOSEU","""Treatment Dose Units"""
"AVISIT","""Analysis Visit"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"SUBJID","""Subject Identifier for the Study"""
"SITEID","""Study Site Identifier"""
"AGE","""Age"""
"AAGE","""Analysis Age"""
"AGEU","""Age Units"""
"SEX","""Sex"""
"RACE","""Race"""
"TRTP","""Planned Treatment"""
"TRTPN","""Planned Treatment (N)"""
"TRTA","""Actual Treatment"""
"TRTAN","""Actual Treatment (N)"""
"APERIOD","""Period"""
"APERIODIC","""Period (C)"""
"AVISITN","""Analysis Visit (N)"""
"ADT","""Analysis Date"""
"ATM","""Analysis Time"""
"ADTM","""Analysis Datetime"""
"ASTDT","""Analysis Start Date"""
"ASTTM","""Analysis Start Time"""
"ASTDTM","""Analysis Start Datetime"""
"AENDT","""Analysis End Date"""
"AENTM","""Analysis End Time"""
"AENDTM","""Analysis End Datetime"""
"ATPT","""Analysis Timepoint"""
"ATPTN","""Analysis Timepoint (N)"""
"PARAM","""Parameter"""
"PARAMCD","""Parameter Code"""
"PARAMN","""Parameter (N)"""
"AVAL","""Analysis Value"""
"DTYPE","""Derivation Type"""
"BMIBL","""Body Mass Index at Baseline"""
"BMIBLU","""Body Mass Index at Baseline """
"HTBL","""Height at Baseline"""
"HTBLU","""Height at Baseline Unit"""
"WTBL","""Weight at Baseline"""
"WTBLU","""Weight at Baseline Unit"""
"AGE","""Age"""
"AGEU","""Age Units"""
"ARELTM1","""Analysis Rel. Actual
Time from 1st Dose"""
"ARELTM2","""Actual Rel. Time from
Most Recent Dose"""
"ARELTM3","""Act. Rel. Time from
MRD-Neg. Imputed"""
"ARELTM4","""Act. Rel. Time from
MRD-Trough Predose"""
"ARELTM5","""Act Rel. Time
MRD-Neg Imp,Trough
Predose"""
"ARELTM6","""Act Rel. Time from
MRD (Full Profile)"""
"ARELTM7","""Act. Rel. Time from
Most Recent Dose
End"""
"ARELTM8","""Act. Rel. Time MRDE
(Trough Predose)"""
"ASMED","""Matrix of Sample"""
"ASTYP","""Analyte"""
"ATRTDUR","""NA"""
"AVAL","""Analysis Value"""
"AVALC","""Analysis Value (C)"""
"AVALU","""Analysis Value Unit"""
"AVISIT","""Analysis Visit"""
"AVISITN","""Analysis Visit (N)"""
"BMI","""NA"""
"COHORT","""Cohort"""
"DOSNO","""Dose Number"""
"DRUG","""Medication Name"""
"EVID","""Event Id"""
"EVNTSDTM","""NA"""
"FEDSTATE","""Fasted / Fed Status"""
"FRMUL","""Treatment
Formulation"""
"FULL_DAY","""Ref Dose Visit w.r.t to
a Full Profile"""
"HT","""NA"""
"IRELTM7","""Imp Rel. Time from
Most Recent Dose
End"""
"IRELTM8","""Imp Relative Time
MRDE (Trough
Predose)"""
"NRELTM1","""Nominal Relative
Time from First Dose"""
"NRELTM2","""Nominal Time from
Most Recent Dose"""
"NRELTM3","""Nom Relative Time
MRD (Neg Imputed)"""
"NRELTM4","""Nom Relative Time
MRD (Trough
Predose)"""
"NRELTM5","""Nom Rel. Time
MRD-Neg Imp,Trough
Predose"""
"NRELTM6","""Nom Relative Time
MRD (Full Profile)"""
"NRELTM7","""Nom Rel. Time from
MRD End"""
"NRELTM8","""Nom Relative Time
MRDE (Trough
Predose)"""
"PARAM","""Parameter"""
"PARAMCD","""Parameter code"""
"PCDTC","""Date/Time of
Specimen Collection"""
"PCREFID","""Reference ID"""
"PCSCHTEN","""NA"""
"PCTPT","""Planned Time Point
Name"""
"PCTPTNUM","""Planned Time Point
Number"""
"PCVOL","""NA"""
"PERIOD","""NA"""
"PTRTDUR","""NA"""
"RACE","""Race"""
"RACEOTH","""NA"""
"RACESCAT","""NA"""
"RATE","""NA"""
"REGIMEN","""Regimen of
Medication"""
"RELTMU","""Relative
Actual/Nominal Time
Units"""
"ROUTE","""Route of Medication
Administration"""
"SEX","""Sex"""
"SITEID","""Study Site Identifier"""
"STUDYID","""Study Identifier"""
"SUBJID","""Subject Identifier for
the Study"""
"TAU","""Time Span between
Dosing Intervals"""
"TIMETXT","""Time Text"""
"TRT01A","""Actual Treatment for
Period 01"""
"TRT01P","""Planned Treatment for
Period 01"""
"UACBGTM","""NA"""
"URBGTM","""NA"""
"URHTEN","""NA"""
"URTENDL","""NA"""
"USUBJID","""Unique Subject
Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of
Visit"""
"VISITNUM","""Visit Number"""
"WT","""NA"""
"AAGE","""Analysis Age"""
"AAGEU","""Analysis Age Unit"""
"ADT","""Analysis Date"""
"ADTM","""Analysis Datetime"""
"ADY","""Analysis Relative Day"""
"AGE","""Age"""
"AGEGR1","""Pooled Age Group 1"""
